freq_MHz,e_00_real,e_00_imag,e_11_real,e_11_imag,delta_e_real,delta_e_imag
1811.000000,4.3866858506e-02,2.1319852187e-02,-1.7489896480e-02,2.0891819723e-01,-1.5159017515e-01,-1.6104409908e-01
1812.000000,4.2669006015e-02,2.1548214512e-02,-5.9925597492e-02,1.3756358431e-01,-1.5418094487e-01,-1.4686390299e-01
1813.000000,4.1499504811e-02,2.1563001431e-02,2.5610338447e-02,1.9041656189e-01,-1.5216592614e-01,-1.6661403094e-01
1814.000000,4.8675591671e-02,2.0834988269e-02,-4.8844694377e-02,2.5597206509e-01,-1.3046564025e-01,-1.6420200055e-01
1815.000000,4.2295674344e-02,2.0465856773e-02,-7.9075475863e-02,1.1180602557e-01,-1.5442135954e-01,-1.3672318455e-01
1816.000000,4.3855305756e-02,1.6248275279e-02,-5.8493078030e-02,1.3727053065e-01,-1.7030788823e-01,-1.3437835165e-01
1817.000000,4.3548697602e-02,1.6201287555e-02,-6.4995589371e-02,1.3254806324e-01,-1.6708417149e-01,-1.3213281160e-01
1818.000000,4.3328406175e-02,1.6121395362e-02,-6.7760251118e-02,1.2845388852e-01,-1.6806197620e-01,-1.3195804663e-01
1819.000000,4.3900040551e-02,1.6080143482e-02,-7.6017626618e-02,1.2487657630e-01,-1.6635151310e-01,-1.3152249549e-01
1820.000000,4.3488840551e-02,1.5169657648e-02,-6.4463580489e-02,1.3472602197e-01,-1.6458828443e-01,-1.3344985009e-01
1821.000000,4.3760659731e-02,1.5884298454e-02,-7.0910317910e-02,1.3302275557e-01,-1.6362265034e-01,-1.3379809760e-01
1822.000000,4.3463021192e-02,1.6319832685e-02,-7.5674393083e-02,1.2472624359e-01,-1.6379614924e-01,-1.3538080500e-01
1823.000000,4.3431892202e-02,1.5409398955e-02,-6.8152065728e-02,1.3979725580e-01,-1.6343342225e-01,-1.3780796755e-01
1824.000000,4.2900535233e-02,1.5035722402e-02,-7.7772094058e-02,1.3601221055e-01,-1.6205746579e-01,-1.3668122109e-01
1825.000000,4.2942496691e-02,1.5423512997e-02,-6.5374374244e-02,1.2292632599e-01,-1.6169848567e-01,-1.3810219018e-01
1826.000000,4.2322836527e-02,1.6902096025e-02,-9.6893372257e-02,1.3924324426e-01,-1.5382135361e-01,-1.4026473559e-01
1827.000000,4.2034621149e-02,1.6605827146e-02,-5.5208593850e-02,1.3183768356e-01,-1.6258205893e-01,-1.4481527412e-01
1828.000000,4.1219222182e-02,1.6897328776e-02,-5.7166315978e-02,9.8379690665e-02,-1.5315355270e-01,-1.3445275252e-01
1830.000000,4.1191171717e-02,1.2208071576e-02,6.4009712033e-02,1.2418858124e-01,-1.7855033217e-01,-1.0183801469e-01
1831.000000,4.0602202957e-02,1.7313363401e-02,-5.4073765258e-02,1.7205988792e-01,-1.5786116356e-01,-1.4803972391e-01
1832.000000,4.0893778075e-02,1.7579520787e-02,-7.0774739929e-02,1.3725881873e-01,-1.4867827226e-01,-1.4591603309e-01
1834.000000,5.0690613072e-02,1.4081793172e-02,-9.4923661480e-02,1.0959932406e-01,-1.9591693947e-01,-1.0805099267e-01
1835.000000,4.2142841220e-02,2.0067650827e-02,-1.0798919931e-02,2.1906012411e-01,-1.3839723364e-01,-1.7498404431e-01
1836.000000,4.1078485881e-02,2.2753679745e-02,-5.7742654689e-03,1.5240488902e-01,-1.4440494703e-01,-1.6988923448e-01
1837.000000,3.9126989148e-02,2.6726750343e-02,-7.5952014624e-02,7.6439150169e-03,-1.4360998893e-01,-1.6998723631e-01
1838.000000,4.0381409428e-02,1.8230460437e-02,-6.0897574421e-02,-6.6818642725e-03,-1.4272752871e-01,-1.7137803854e-01
1839.000000,4.2148438208e-02,1.7119090042e-02,-1.1062877473e-01,7.3414483901e-02,-1.5358635665e-01,-1.6712919903e-01
1840.000000,4.0572463645e-02,1.9856341609e-02,-6.3021723411e-02,1.7277728124e-01,-1.4280582604e-01,-1.6469044330e-01
1841.000000,4.0761787222e-02,1.8388184543e-02,-7.8754892408e-02,1.3423300545e-01,-1.4269908173e-01,-1.5513516868e-01
1842.000000,4.0559536263e-02,1.8335230220e-02,-7.3288026696e-02,1.3207693460e-01,-1.4110427471e-01,-1.5562316538e-01
1843.000000,4.0262557558e-02,1.7865563460e-02,-7.6594169091e-02,1.2840173498e-01,-1.4182135459e-01,-1.5519454620e-01
1844.000000,4.0132921980e-02,1.7718767400e-02,-7.8104733950e-02,1.2627268211e-01,-1.4151181730e-01,-1.5525306696e-01
1845.000000,3.9367908784e-02,1.7715987514e-02,-7.9500668197e-02,1.2848030673e-01,-1.3838890480e-01,-1.5694832516e-01
1846.000000,4.0159696600e-02,1.7404768067e-02,-7.3350388596e-02,1.4159719791e-01,-1.3821962791e-01,-1.5844999752e-01
1847.000000,3.8950213057e-02,1.7965002272e-02,-7.0774047636e-02,1.2793461212e-01,-1.3684757453e-01,-1.5832515125e-01
1848.000000,4.0027379907e-02,1.7670849730e-02,-8.1904476358e-02,1.3823730868e-01,-1.3523137747e-01,-1.5905332999e-01
1849.000000,3.9082126684e-02,1.7660454990e-02,-7.1757678471e-02,1.1874406873e-01,-1.3440642479e-01,-1.5955255026e-01
1850.000000,3.9473803512e-02,1.8920307073e-02,-7.8439733004e-02,1.3433747424e-01,-1.2867741468e-01,-1.6416026667e-01
1851.000000,3.8563571880e-02,1.7186878952e-02,-8.0206951825e-02,9.0489742197e-02,-1.3138849829e-01,-1.5510224367e-01
