freq_rf_MHz,modulo_S11_dB,fase_S11_deg
2098.000000,-16.3914,12.2641
2099.000000,-16.1788,17.0494
2100.000000,-16.2015,17.8170
2101.000000,-15.2633,13.7580
2102.000000,-15.1901,13.9725
2103.000000,-16.4000,14.4356
2104.000000,-15.3003,13.2591
2105.000000,-15.4851,17.5997
2106.000000,-16.2697,10.7932
2107.000000,-15.0865,13.5792
2108.000000,-16.1154,9.5888
2109.000000,-16.1538,11.6520
2110.000000,-16.0290,17.3016
2111.000000,-15.0425,9.8018
2112.000000,-15.1038,13.2967
2113.000000,-16.0283,16.5718
2114.000000,-15.1531,11.2871
2115.000000,-15.1422,10.3097
2116.000000,-16.3419,8.2443
2117.000000,-15.0795,12.1940
2118.000000,-15.8748,16.0533
2119.000000,-15.0817,13.3043
2120.000000,-15.2114,13.1648
2121.000000,-15.0645,15.4341
2122.000000,-16.1635,11.7430
2123.000000,-15.5866,9.7695
2124.000000,-15.0401,13.9518
2125.000000,-14.9557,13.8108
2126.000000,-15.9980,15.8140
2127.000000,-14.9941,14.5752
2128.000000,-15.9508,16.9795
2129.000000,-15.4151,10.6852
2130.000000,-15.4693,17.7682
2131.000000,-14.9938,13.6164
2132.000000,-15.4239,16.6719
2133.000000,-15.3564,9.4396
2134.000000,-15.4187,17.9480
2135.000000,-15.5118,10.1198
2136.000000,-14.8652,12.9915
2137.000000,-15.4480,16.6003
2138.000000,-15.1130,14.6856
2139.000000,-15.6865,16.7545
2140.000000,-15.5763,9.8651
2141.000000,-15.1735,16.3530
2142.000000,-15.2446,16.0521
2143.000000,-15.4196,17.2135
2144.000000,-14.9036,14.8931
2145.000000,-15.5228,9.3323
2146.000000,-16.1218,16.0743
2147.000000,-15.0179,12.7611
2148.000000,-16.0346,10.4635
2149.000000,-15.2069,10.1622
2151.000000,-15.8327,10.1377
2152.000000,-15.5133,15.7093
2153.000000,-15.0268,11.2116
2154.000000,-14.9808,12.4812
2155.000000,-15.6216,16.0798
2156.000000,-15.9414,10.5720
2157.000000,-15.6013,16.6367
2158.000000,-5.7280,41.5748
2159.000000,-15.0842,14.7327
2160.000000,-15.0986,12.6194
2161.000000,-15.4690,16.3609
2162.000000,-15.6571,16.6975
2163.000000,-15.0948,9.6965
2164.000000,-14.9341,11.1033
2165.000000,-14.9630,12.2797
2166.000000,-27.8767,161.5125
2167.000000,-14.9451,14.0719
2168.000000,-15.0618,10.0665
2169.000000,-15.1486,13.5370
2170.000000,-16.0421,12.8688
2171.000000,-16.0556,12.1689
2172.000000,-15.7811,8.9002
2173.000000,-15.0713,10.5277
2174.000000,-18.0047,31.8722
2175.000000,-16.2137,10.7079
2176.000000,-15.2685,9.5243
2177.000000,-15.2611,14.4416
2178.000000,-15.9420,7.9117
2179.000000,-15.5811,15.4502
2180.000000,-15.1729,12.7926
2181.000000,-15.9347,8.9322
2182.000000,-15.7570,12.7627
2183.000000,-15.5744,16.5664
2184.000000,-15.6447,9.1482
2185.000000,-16.2246,9.9340
2186.000000,-15.2079,10.5573
2187.000000,-16.1163,15.0388
2188.000000,-16.1486,11.5409
2189.000000,-16.0876,14.8396
2190.000000,-13.2209,-91.1972
2191.000000,-15.2606,13.7408
2192.000000,-15.1818,10.7815
2193.000000,-16.0359,13.7829
2194.000000,-15.4500,15.1525
2195.000000,-15.8352,15.8505
2196.000000,-15.8870,8.3856
2197.000000,-15.9545,9.3097
2198.000000,-0.9919,-12.1908
2199.000000,-16.0887,9.8355
2200.000000,-16.7668,11.5487
